# From the camb file : CAMB/camb/PRIMAT_Yp_DH_ErrorMC_2021.dat
# adapted to class : we keep only three columns:  ombh2       DeltaN          Yp  
# below is the full comment from the camb file. 
#
# BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).
#
# Computation performed with PRIMAT (by Cyril Pitrou 2018-2021 http://www2.iap.fr/users/pitrou/primat.htm)
# Details on arXiv:1801.08023 and update arXiv:2011.11320
# Last update 16/02/2021 (notably including the LUNA rate for the d(p,g)He3 reaction)
#
# Neutron Decay rate $\tau_n$ is 879.4s (+-0.6s), following Particle Data Group 2020
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
# Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better. 
#
# Errors are computed with a Monte-Carlo method on nuclear rates and also on tau_n. 
# See PRIMAT paper (2018) for details. 
# 
#  ombh2       DeltaN          Yp        

52 25
4.000000000000000083e-02 -2.000000000000000000e+00 2.194639999999999924e-01
5.000000000000000104e-03 -1.500000000000000000e+00 2.053089999999999915e-01
6.000000000000000125e-03 -1.500000000000000000e+00 2.081389999999999907e-01
7.000000000000000146e-03 -1.500000000000000000e+00 2.103009999999999879e-01
8.000000000000000167e-03 -1.500000000000000000e+00 2.120370000000000033e-01
8.999999999999999320e-03 -1.500000000000000000e+00 2.134850000000000081e-01
1.000000000000000021e-02 -1.500000000000000000e+00 2.147229999999999972e-01
1.099999999999999936e-02 -1.500000000000000000e+00 2.158049999999999968e-01
1.200000000000000025e-02 -1.500000000000000000e+00 2.167640000000000122e-01
1.299999999999999940e-02 -1.500000000000000000e+00 2.176250000000000129e-01
1.400000000000000029e-02 -1.500000000000000000e+00 2.184059999999999890e-01
1.499999999999999944e-02 -1.500000000000000000e+00 2.191210000000000102e-01
1.600000000000000033e-02 -1.500000000000000000e+00 2.197810000000000041e-01
1.700000000000000122e-02 -1.500000000000000000e+00 2.203920000000000046e-01
1.799999999999999864e-02 -1.500000000000000000e+00 2.209619999999999918e-01
1.899999999999999953e-02 -1.500000000000000000e+00 2.214949999999999974e-01
2.000000000000000042e-02 -1.500000000000000000e+00 2.219969999999999999e-01
2.019999999999999921e-02 -1.500000000000000000e+00 2.220940000000000136e-01
2.040000000000000147e-02 -1.500000000000000000e+00 2.221899999999999986e-01
2.060000000000000026e-02 -1.500000000000000000e+00 2.222850000000000104e-01
2.079999999999999905e-02 -1.500000000000000000e+00 2.223779999999999923e-01
2.100000000000000130e-02 -1.500000000000000000e+00 2.224710000000000021e-01
2.120000000000000009e-02 -1.500000000000000000e+00 2.225620000000000098e-01
2.139999999999999888e-02 -1.500000000000000000e+00 2.226529999999999898e-01
2.160000000000000114e-02 -1.500000000000000000e+00 2.227429999999999966e-01
2.179999999999999993e-02 -1.500000000000000000e+00 2.228310000000000013e-01
2.199999999999999872e-02 -1.500000000000000000e+00 2.229190000000000060e-01
2.220000000000000098e-02 -1.500000000000000000e+00 2.230060000000000098e-01
2.239999999999999977e-02 -1.500000000000000000e+00 2.230920000000000125e-01
2.259999999999999856e-02 -1.500000000000000000e+00 2.231769999999999865e-01
2.280000000000000082e-02 -1.500000000000000000e+00 2.232609999999999872e-01
2.299999999999999961e-02 -1.500000000000000000e+00 2.233449999999999880e-01
2.319999999999999840e-02 -1.500000000000000000e+00 2.234269999999999867e-01
2.340000000000000066e-02 -1.500000000000000000e+00 2.235090000000000132e-01
2.359999999999999945e-02 -1.500000000000000000e+00 2.235900000000000110e-01
2.380000000000000171e-02 -1.500000000000000000e+00 2.236700000000000077e-01
2.400000000000000050e-02 -1.500000000000000000e+00 2.237500000000000044e-01
2.500000000000000139e-02 -1.500000000000000000e+00 2.241360000000000019e-01
2.599999999999999881e-02 -1.500000000000000000e+00 2.245060000000000111e-01
2.699999999999999969e-02 -1.500000000000000000e+00 2.248600000000000043e-01
2.800000000000000058e-02 -1.500000000000000000e+00 2.252000000000000113e-01
2.900000000000000147e-02 -1.500000000000000000e+00 2.255260000000000042e-01
2.999999999999999889e-02 -1.500000000000000000e+00 2.258400000000000130e-01
3.099999999999999978e-02 -1.500000000000000000e+00 2.261430000000000107e-01
3.200000000000000067e-02 -1.500000000000000000e+00 2.264359999999999984e-01
3.300000000000000155e-02 -1.500000000000000000e+00 2.267190000000000039e-01
3.400000000000000244e-02 -1.500000000000000000e+00 2.269919999999999993e-01
3.500000000000000333e-02 -1.500000000000000000e+00 2.272569999999999868e-01
3.599999999999999728e-02 -1.500000000000000000e+00 2.275139999999999940e-01
3.699999999999999817e-02 -1.500000000000000000e+00 2.277629999999999932e-01
3.799999999999999906e-02 -1.500000000000000000e+00 2.280050000000000132e-01
3.899999999999999994e-02 -1.500000000000000000e+00 2.282399999999999984e-01
4.000000000000000083e-02 -1.500000000000000000e+00 2.284690000000000054e-01
5.000000000000000104e-03 -1.000000000000000000e+00 2.132429999999999881e-01
6.000000000000000125e-03 -1.000000000000000000e+00 2.161629999999999940e-01
7.000000000000000146e-03 -1.000000000000000000e+00 2.183799999999999908e-01
8.000000000000000167e-03 -1.000000000000000000e+00 2.201539999999999886e-01
8.999999999999999320e-03 -1.000000000000000000e+00 2.216269999999999907e-01
1.000000000000000021e-02 -1.000000000000000000e+00 2.228839999999999988e-01
1.099999999999999936e-02 -1.000000000000000000e+00 2.239800000000000124e-01
1.200000000000000025e-02 -1.000000000000000000e+00 2.249490000000000101e-01
1.299999999999999940e-02 -1.000000000000000000e+00 2.258189999999999920e-01
1.400000000000000029e-02 -1.000000000000000000e+00 2.266070000000000029e-01
1.499999999999999944e-02 -1.000000000000000000e+00 2.273270000000000013e-01
1.600000000000000033e-02 -1.000000000000000000e+00 2.279899999999999982e-01
1.700000000000000122e-02 -1.000000000000000000e+00 2.286040000000000016e-01
1.799999999999999864e-02 -1.000000000000000000e+00 2.291769999999999918e-01
1.899999999999999953e-02 -1.000000000000000000e+00 2.297119999999999995e-01
2.000000000000000042e-02 -1.000000000000000000e+00 2.302160000000000040e-01
2.019999999999999921e-02 -1.000000000000000000e+00 2.303129999999999900e-01
2.040000000000000147e-02 -1.000000000000000000e+00 2.304090000000000027e-01
2.060000000000000026e-02 -1.000000000000000000e+00 2.305039999999999867e-01
2.079999999999999905e-02 -1.000000000000000000e+00 2.305979999999999974e-01
2.100000000000000130e-02 -1.000000000000000000e+00 2.306910000000000072e-01
2.120000000000000009e-02 -1.000000000000000000e+00 2.307819999999999871e-01
2.139999999999999888e-02 -1.000000000000000000e+00 2.308729999999999949e-01
2.160000000000000114e-02 -1.000000000000000000e+00 2.309630000000000016e-01
2.179999999999999993e-02 -1.000000000000000000e+00 2.310520000000000074e-01
2.199999999999999872e-02 -1.000000000000000000e+00 2.311400000000000121e-01
2.220000000000000098e-02 -1.000000000000000000e+00 2.312269999999999881e-01
2.239999999999999977e-02 -1.000000000000000000e+00 2.313129999999999908e-01
2.259999999999999856e-02 -1.000000000000000000e+00 2.313979999999999926e-01
2.280000000000000082e-02 -1.000000000000000000e+00 2.314829999999999943e-01
2.299999999999999961e-02 -1.000000000000000000e+00 2.315659999999999941e-01
2.319999999999999840e-02 -1.000000000000000000e+00 2.316489999999999938e-01
2.340000000000000066e-02 -1.000000000000000000e+00 2.317309999999999925e-01
2.359999999999999945e-02 -1.000000000000000000e+00 2.318119999999999903e-01
2.380000000000000171e-02 -1.000000000000000000e+00 2.318919999999999870e-01
2.400000000000000050e-02 -1.000000000000000000e+00 2.319720000000000115e-01
2.500000000000000139e-02 -1.000000000000000000e+00 2.323590000000000100e-01
2.599999999999999881e-02 -1.000000000000000000e+00 2.327279999999999904e-01
2.699999999999999969e-02 -1.000000000000000000e+00 2.330820000000000114e-01
2.800000000000000058e-02 -1.000000000000000000e+00 2.334219999999999906e-01
2.900000000000000147e-02 -1.000000000000000000e+00 2.337480000000000113e-01
2.999999999999999889e-02 -1.000000000000000000e+00 2.340619999999999923e-01
3.099999999999999978e-02 -1.000000000000000000e+00 2.343649999999999900e-01
3.200000000000000067e-02 -1.000000000000000000e+00 2.346570000000000045e-01
3.300000000000000155e-02 -1.000000000000000000e+00 2.349390000000000089e-01
3.400000000000000244e-02 -1.000000000000000000e+00 2.352130000000000054e-01
3.500000000000000333e-02 -1.000000000000000000e+00 2.354769999999999919e-01
3.599999999999999728e-02 -1.000000000000000000e+00 2.357329999999999981e-01
3.699999999999999817e-02 -1.000000000000000000e+00 2.359819999999999973e-01
3.799999999999999906e-02 -1.000000000000000000e+00 2.362229999999999885e-01
3.899999999999999994e-02 -1.000000000000000000e+00 2.364580000000000015e-01
4.000000000000000083e-02 -1.000000000000000000e+00 2.366860000000000075e-01
5.000000000000000104e-03 -7.500000000000000000e-01 2.169639999999999902e-01
6.000000000000000125e-03 -7.500000000000000000e-01 2.199280000000000124e-01
7.000000000000000146e-03 -7.500000000000000000e-01 2.221710000000000074e-01
8.000000000000000167e-03 -7.500000000000000000e-01 2.239629999999999954e-01
8.999999999999999320e-03 -7.500000000000000000e-01 2.254490000000000105e-01
