87  3.9819  12.655  53.59  218.48  604  1136.4  40.233  170.5  696.1  1928.7  3643.2  723.47  2961.5  8239.1  15675  12187  34185  65987  97131  191750  393760  
88  3.9683  12.611  53.398  217.65  601.5  1131  40.091  169.88  693.42  1920.6  3625.5  720.76  2949.8  8203.6  15597  12136  34030  65642  96655  190680  391270  
89  3.9543  12.566  53.201  216.81  598.95  1125.5  39.945  169.24  690.69  1912.4  3607.6  717.99  2937.8  8167.6  15519  12084  33873  65296  96175  189600  388780  
90  3.94  12.52  53.001  215.95  596.38  1119.9  39.797  168.6  687.91  1904  3589.6  715.18  2925.7  8131.1  15440  12032  33715  64948  95691  188520  386300  
91  3.9255  12.473  52.798  215.07  593.78  1114.3  39.646  167.94  685.09  1895.6  3571.5  712.33  2913.4  8094.3  15360  11979  33555  64600  95205  187440  383830  
92  3.9106  12.425  52.591  214.19  591.15  1108.7  39.492  167.27  682.24  1887.1  3553.3  709.43  2901  8057.2  15280  11925  33394  64250  94717  186360  381360  
93  3.8956  12.377  52.381  213.29  588.49  1103.1  39.336  166.6  679.35  1878.5  3535.1  706.5  2888.5  8019.8  15200  11871  33232  63899  94226  185280  378910  
94  3.8803  12.327  52.168  212.39  585.8  1097.4  39.178  165.91  676.42  1869.9  3516.7  703.52  2875.7  7982  15120  11817  33069  63548  93734  184200  376470  
95  3.8648  12.277  51.952  211.47  583.09  1091.7  39.017  165.22  673.47  1861.1  3498.3  700.51  2862.9  7943.9  15039  11762  32905  63196  93240  183120  374040  
96  3.849  12.227  51.733  210.54  580.36  1086  38.855  164.51  670.48  1852.3  3479.8  697.47  2849.9  7905.6  14958  11706  32740  62844  92744  182040  371620  
97  3.8331  12.176  51.512  209.6  577.61  1080.3  38.69  163.8  667.45  1843.4  3461.2  694.39  2836.8  7867  14877  11651  32574  62491  92246  180970  369210  
98  3.8169  12.124  51.287  208.65  574.83  1074.5  38.523  163.08  664.4  1834.5  3442.6  691.27  2823.6  7828.1  14796  11594  32408  62138  91747  179890  366810  
