# [0]-l  [1]-gg_1h  [2]-gg_2h  [3]-gy_1h  [4]-gy_2h
1.705000000000000000e+03 8.149577957267997257e-07 4.239594206636766446e-08 1.141138902212834855e-13 3.067096873517766896e-15
1.815000000000000000e+03 7.892257128857367314e-07 3.607364179225233283e-08 1.041218202160132542e-13 2.501243714935440131e-15
1.933000000000000000e+03 7.621682441054783504e-07 3.062005602731745134e-08 9.448745502238770265e-14 2.030649946674129273e-15
2.058000000000000000e+03 7.342799715601031655e-07 2.598112725532855643e-08 8.537565179188252511e-14 1.645407755236899918e-15
2.191000000000000000e+03 7.055902830197298075e-07 2.201984612439371199e-08 7.677719525831061862e-14 1.329339918346344447e-15
2.333000000000000000e+03 6.762092163363279376e-07 1.863052458925535120e-08 6.870170980731853548e-14 1.069991756251868553e-15
2.485000000000000000e+03 6.462509691623286508e-07 1.572938269118829904e-08 6.115359342031700531e-14 8.575240786792328996e-16
2.646000000000000000e+03 6.162374831175236438e-07 1.327539290462630132e-08 5.422424884806906267e-14 6.858385334783056404e-16
2.817000000000000000e+03 5.862921525196537755e-07 1.119500947708647338e-08 4.789085385346881790e-14 5.470345509469653009e-16
3.000000000000000000e+03 5.563961068543874585e-07 9.421017321443513565e-09 4.210366303202191060e-14 4.343784764960258452e-16
